Date,Fund
01-01-2002,Franklin India Prima Plus
01-02-2002,SBI Contra Fund
01-03-2002,SBI Contra Fund
01-04-2002,Reliance Vision Fund
01-05-2002,Reliance Vision Fund
01-06-2002,Reliance Vision Fund
01-07-2002,Reliance Vision Fund
01-08-2002,Reliance Vision Fund
01-09-2002,Reliance Vision Fund
01-10-2002,Reliance Vision Fund
01-11-2002,Reliance Vision Fund
01-12-2002,Reliance Vision Fund
01-01-2003,Reliance Vision Fund
01-02-2003,Reliance Vision Fund
01-03-2003,Reliance Vision Fund
01-04-2003,Reliance Vision Fund
01-05-2003,Reliance Vision Fund
01-06-2003,Reliance Vision Fund
01-07-2003,Reliance Vision Fund
01-08-2003,Reliance Vision Fund
01-09-2003,Reliance Vision Fund
01-10-2003,Reliance Vision Fund
01-11-2003,Reliance Vision Fund
01-12-2003,Reliance Vision Fund
01-01-2004,Reliance Vision Fund
01-02-2004,HDFC Equity Fund
01-03-2004,HDFC Equity Fund
01-04-2004,HDFC Equity Fund
01-05-2004,Principal Growth Fund
01-06-2004,Reliance Growth Fund
01-07-2004,Reliance Growth Fund
01-08-2004,HDFC Capital Builder
01-09-2004,HDFC Capital Builder
01-10-2004,HDFC Capital Builder
01-11-2004,HDFC Capital Builder
01-12-2004,HDFC Capital Builder
01-01-2005,HDFC Capital Builder
01-02-2005,HDFC Capital Builder
01-03-2005,HDFC Capital Builder
01-04-2005,HDFC Capital Builder
01-05-2005,Reliance Growth Fund
01-06-2005,Reliance Growth Fund
01-07-2005,Reliance Growth Fund
01-08-2005,Reliance Growth Fund
01-09-2005,Reliance Growth Fund
01-10-2005,Reliance Growth Fund
01-11-2005,Reliance Growth Fund
01-12-2005,SBI Contra Fund
01-01-2006,Reliance Growth Fund
01-02-2006,HDFC Equity Fund
01-03-2006,HDFC Equity Fund
01-04-2006,HDFC Equity Fund
01-05-2006,HDFC Equity Fund
01-06-2006,SBI Contra Fund
01-07-2006,HDFC Equity Fund
01-08-2006,HDFC Equity Fund
01-09-2006,HDFC Equity Fund
01-10-2006,HDFC Equity Fund
01-11-2006,Franklin India Prima Plus
01-12-2006,DSP BR Opportunities Fund
01-01-2007,Franklin India Prima Plus
01-02-2007,Franklin India Prima Plus
01-03-2007,Franklin India Prima Plus
01-04-2007,Franklin India Prima Plus
01-05-2007,Franklin India Prima Plus
01-06-2007,Franklin India Prima Plus
01-07-2007,Franklin India Prima Plus
01-08-2007,Reliance Growth Fund
01-09-2007,Reliance Growth Fund
01-10-2007,Reliance Growth Fund
01-11-2007,Reliance Growth Fund
01-12-2007,Reliance Growth Fund
01-01-2008,Reliance Growth Fund
01-02-2008,Taurus Starshare
01-03-2008,HDFC Growth Fund
01-04-2008,HDFC Growth Fund
01-05-2008,HDFC Growth Fund
01-06-2008,Reliance Growth Fund
01-07-2008,Reliance Growth Fund
01-08-2008,Reliance Growth Fund
01-09-2008,Reliance Growth Fund
01-10-2008,HDFC Growth Fund
01-11-2008,Reliance Growth Fund
01-12-2008,UTI-MNC Fund
01-01-2009,HDFC Equity Fund
01-02-2009,UTI-MNC Fund
01-03-2009,UTI-MNC Fund
01-04-2009,HDFC Equity Fund
01-05-2009,HDFC Equity Fund
01-06-2009,HDFC Equity Fund
01-07-2009,HDFC Equity Fund
01-08-2009,UTI-MNC Fund
01-09-2009,UTI-MNC Fund
01-10-2009,UTI-MNC Fund
01-11-2009,UTI-MNC Fund
01-12-2009,UTI-MNC Fund
01-01-2010,UTI-MNC Fund
01-02-2010,UTI-MNC Fund
01-03-2010,UTI-MNC Fund
01-04-2010,UTI-MNC Fund
01-05-2010,UTI-MNC Fund
01-06-2010,HDFC Capital Builder
01-07-2010,UTI-MNC Fund
01-08-2010,HDFC Equity Fund
01-09-2010,HDFC Equity Fund
01-10-2010,HDFC Equity Fund
01-11-2010,HDFC Equity Fund
01-12-2010,HDFC Equity Fund
01-01-2011,HDFC Equity Fund
01-02-2011,UTI-MNC Fund
01-03-2011,HDFC Equity Fund
01-04-2011,HDFC Equity Fund
01-05-2011,UTI-MNC Fund
01-06-2011,UTI-MNC Fund
01-07-2011,UTI-MNC Fund
01-08-2011,UTI-MNC Fund
01-09-2011,UTI-MNC Fund
01-10-2011,UTI-MNC Fund
01-11-2011,UTI-MNC Fund
01-12-2011,UTI-MNC Fund
01-01-2012,UTI-MNC Fund
01-02-2012,UTI-MNC Fund
01-03-2012,UTI-MNC Fund
01-04-2012,UTI-MNC Fund
01-05-2012,UTI-MNC Fund
01-06-2012,UTI-MNC Fund
01-07-2012,UTI-MNC Fund
01-08-2012,UTI-MNC Fund
01-09-2012,UTI-MNC Fund
01-10-2012,Principal Growth Fund
01-11-2012,Principal Growth Fund
01-12-2012,UTI-MNC Fund
01-01-2013,UTI-MNC Fund
01-02-2013,Principal Growth Fund
01-03-2013,SBI Contra Fund
01-04-2013,UTI-Services Industries Fund
01-05-2013,Tata Ethical Fund
01-06-2013,Tata Ethical Fund
01-07-2013,Tata Ethical Fund
01-08-2013,Tata Ethical Fund
01-09-2013,Tata Ethical Fund
01-10-2013,Tata Ethical Fund
01-11-2013,UTI-Services Industries Fund
01-12-2013,Tata Ethical Fund
